	Job Category																														
"Database Administrator
Entry Level/ Junior Professional "	IT-Software / Software Services	"IT Software - DBA, Datawarehousing"	Admin/Maintenance/Security/Datawarehousing	DBA	"Qualifications
• 1.5- 4.5 years of experience in Oracle database administration including versions, 10g and 11g.-
• Experience in managing both development and production database environments.
• Proven track record in DB performance management and high-priority troubleshooting.
• Oracle Database Certified Professional or Oracle Database Certified Associate (Preferred).
• Good understanding of the Oracle database, related utilities and tools, Oracle security management, Oracle data integrity, Oracle backup and recovery scenarios
• A good knowledge of the physical database design
• Ability to perform both Oracle and operating system performance tuning and monitoring
• Sound knowledge of both database and system performance tuning
• Should have sound communication skills with management, development teams, vendors and systems administrators
• Provide a strategic database direction for the organization
• Should have the ability to handle multiple projects and deadlines"	"• Perform database tuning and performance monitoring
• Setup and maintain documentation and standards
• Plan growth and changes (capacity planning)
• Perform general technical trouble shooting and give consultation to development teams
• Database Upgrades ,DR set up,ASM and RAC troubleshooting
• Interface with Oracle Corporation for technical support.
• Patch Management and Version Control
• Implement and maintain the database design
• Create database objects (tables, indexes, etc.)
• Write database procedures, functions and triggers
• Tune database queries
• Monitor application related jobs and data replication activities
• Installation, configuration and upgrading of Oracle server software and related products
• Evaluate Oracle features and Oracle related products
• Establish and maintain sound backup and recovery policies and procedures
• Take care of the Database design and implementation
• Implement and maintain database security (create and maintain users and roles, assign privileges) "	1.5- 4.5 years	"Database Administrator
Entry Level/ Junior Professional "	Match																						
Senior SQL Server Administrator	IT-Software / Software Services	"IT Software - DBA, Datawarehousing"	Admin/Maintenance/Security/Datawarehousing	SQL DBA	"The Database Administration team is responsible for the day-to-day maintenance and support of the global SQL Server environments, including standalone and centralised SQL servers and databases that are distributed around the globe.
Profile
    Affinity with financial administrative services.
    A HBO / advanced vocational education or equivalent.
    At least 5 year experience in a similar role.
Technical Skills (Essential)
    Windows Operating Systems – Windows Server 2008 R2, 2012 and 2012 R2.
    Virtual Technologies – VMWare and MS Hyper-V.
    Microsoft SQL Server 2008, 2008 R2, 2012, 2014 and 2016.
    SQL Server Reporting Services (SSRS), Analysis Services (SSAS), Integration Services (SSIS).
General skills:
    Fluent in English.
    MSCA/MSCE – Data Platform Certification Path
    Service Management methodologies (ITIL) knowledge and experience, including strict observance of established incident / change / problem management processes, company standards and Microsoft Best Practices.
    DTAP model familiarity and experience.
    ISO 27001 / ISAE Type II knowledge.
Skills (Preference)
Possession of the skills listed below will allow for improved flexibility and/or career potentials:
    Knowledge of financial organizations and the required business needs.
    Strongly analytical problem solver with an attention to detail.
    Patient team player and mentor.
    Quality awareness, with “first time right” approach.
    Eager to learn about new developments.
Preferred Professional Qualifications:
    MSCA/MSCE – Data Platform Certification Path
    ITIL Foundation.
    PRINCE2 Foundation."	"Responsibilities
    Continual maintenance and optimisation of existing SQL Server instances, databases and objects:
        Scheduled and frequent patching and upgrades of SQL Server instances, including the coordination of downtime with stakeholders;
        Database and query performance tuning and optimization, including indexing and Statistics, Transactions and concurrency, and other RDBMS components;
        Creation and configuration of new SQL Server Agent Jobs and automated maintenance;
    Designing, optimising and troubleshooting large scale SQL Server environments under high transaction loads, including key decision making.
    SQL Server internal resource usage and sizing:
        Memory usage (internal memory structures, internal/external memory pressure detection)
        CPU usage (Threads, NUMA Nodes, Resource Governor);
        Storage (I/O, SAN, array types, multipathing, data, log and tempdb file internals, file and filegroup layout and partitioning);
    Advanced High Availability and Disaster Recovery techniques, architecture and configuration:
        Capacity and continuity planning;
        Data consistency and corruption recovery;
        Microsoft Windows Failover Clustering installation and optimisation for SQL Server;
        SQL Server AlwaysOn technology installation and optimisation;
        SQL Server backup and database recovery techniques;
        Other high availability features such as replication / log shipping / mirroring;
    Proactively centralise, consolidate and migrate SQL Server instances and databases.
    Management of SQL Server Security Objects, and a solid awareness of security breaches/risks.
    SQL Server problem detection, logging, categorisation, investigation, diagnosis and documentation – prepare a complete resolution plan.
    Document SQL Server operating processes, procedures and installations, including technical diagrams and infrastructure setup.
    Identify key areas for automation and optimisation, including improvements in system performance, processes, and deployment of tools to assist in operational support.
        Exposure to SCOM or large monitoring solution.
    Optimising and troubleshooting Windows Operating Systems from a SQL Server perspective.
    SQL Server Virtual Environments: best practices, basic administration and experience of standard configuration and optimisation of virtual CPU / Memory / Storage / Networking for SQL Server.
    SQL Server requirements and configurations for Microsoft Active Directory: directory services, DHCP, DNS, and Group Policies."	8-10 years	Senior SQL Server Administrator	Match																						
Database Administrator	IT-Software / Software Services	"IT Software - DBA, Datawarehousing"	Admin/Maintenance/Security/Datawarehousing	DBA		"JobDescription: SQL Database Administrator 
This position’s job duties and responsibilities include:
    Knowledge of Failover clustering, SAN replication, and other high availability technologies
    Ensure all database servers are backed up in a way that meets the business’s Recovery Point Objectives (RPO)
    Test backups to ensure we can meet the business’ Recovery Time Objectives (RTO)
    Troubleshoot SQL Server service outages as they occur, including after-hours and weekends
    Configure SQL Server monitoring utilities to minimize false alarms
    As new systems are brought in-house, choose whether to use clustering, log shipping, mirroring, or other technologies
    Install and configure new SQL Servers
    Deploy database change scripts provided by third party vendors
    When performance issues arise, determine the most effective way to increase performance including hardware purchases, server configuration changes, or index/query changes
    Document the company’s database environment"		Database Administrator	Match																						
Application Database Administrator: DB2	IT-Software / Software Services	"IT Software - DBA, Datawarehousing"	Admin/Maintenance/Security/Datawarehousing	DBA	"Required Technical and Professional Expertise
    Experience / Expert of DB2 LUW (BLU, DashDB)
    Experience of designing and developing data bases.
    Experience of understanding data processing in business applications and designing data bases for optimal storage and retrieval of data."	"Who you are:
• You must have demonstrated team working skills balanced with ability to work alone and a positive attitude.
• Customer focus Communication skills.
• Proven analytical, organizational, and problem solving skills.
• Detail oriented, multi-tasking, self-starter with strong interpersonal skills.
• You will participate in process improvements and knowledge management.
 
What you’ll do
• You will handle troubleshooting database connectivity, network related Issues and database performance issues & query tuning.
• You will be involved in Database Clustering.
• You will be capable to use of problem and change management tools
• You'll be designing applications required to automate business processes, and meet business needs.
• This role will require you to be hands on technical.
• As this is a client facing role, there will be interaction with the clients.
• You will be involved in core development.
 
How we’ll help you grow:
• You’ll have access to all the technical and management training courses you need to become the expert you want to be.
• You’ll learn directly from expert developers in the field; our team leads love to mentor.
• You have the opportunity to work in many different areas to figure out what really excites you."	3-6 years	Application Database Administrator: DB2	Match																						
DB2 Database Administrator with LUW and ZOS	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Admin/Maintenance/Security/Datawarehousing	DBA	"db2 dba
db2 database administrator
LUW
z / os"	Should be willing to join in 15 days DB2 Database administrator with LUW and ZOS Good communication skills Should be willing to work in rotational shift Willing to travel for short term.	5-9 years	DB2 Database Administrator with LUW and ZOS	Match																						
"B2B Integration, System Administrator"	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Admin/Maintenance/Security/Datawarehousing	System Administrator	"nclude demonstrated competencies and physical,
mental, & interpersonal skills.
·         5 + years of Sterling B2B Integrator administration
and development experience with strong knowledge with Business Process
orchestration, Map developments, Adapter configuration/development and mail
boxing features.
·       Good knowledge of Sterling B2B Integrator administration which includes Adapter
setups, performance monitoring, operational maintenance, user alerts/notifications,
troubleshooting and automation.
·       Well conversed with of other integration technologies like Web services,
SOAP, JSON/XML etc.
·       Design integration solutions for complex business operations which
include data modeling, ETL and integrate data from external systems.
·       Experience with clustered/multi node setup, Linux, Oracle DB, and Integration
knowledge with SAP ERP are strong pluses
·       Self-starter who enjoys project, process, documentation and technology
work
 
·       Inter-personal skills sufficient for
frequent interaction at all levels on management, internal and external, under
conditions which will reach high levels of intensity."	"You will be responsible as the Global System
Administrator for CommScope’s IBM Sterling B2B Integrator solutions, where
you will administer, plan, document requirements, execute/implement the
operational best practice for the required EDI and system integration solutions,
as well as working with analysts/developers/PMs accordingly to support their CommScope’s
B2B Integrations. 
You will be working very closely with
key stakeholders in the business, as well as IT, to focus on (re)defining
current state, to assist in developing an enterprise strategy, and rollout strategy
of CommScope’s initiatives that complements our B2B Integration services platform. 
This role will require dedication and commitment
to own the escalation path/channel for final issues resolution as well.
Occasionally, you will be required to assess
and reengineer existing/legacy integrations to address scalability, security,
new technology requirements, and/or performance improvement.
 
 
Duties & Responsibilities
 
 
·          Serve as the
technical point of contact for administration, maintenance, enhancement and
revision of CommScope’s Sterling B2B Integrator solution
·          Working closely
with CommScope team and business partners to capture, document, and verify
the requirements of the project stakeholders and end users
·          Perform fit-gap
analysis and detailed estimation for B2B integration and EDI development
·          Maintain and
update Functional and Technical design documents for Sterling B2B Integrator
deployment
·          Perform
preventive and corrective maintenance practices like root cause analysis to
remove and prevent defects
·          Serving as an
escalation point for the production support team
·          Opportunity to
learn about integration with company’s back-end SAP ERP and other supporting systems
·          Participates in
design and review of new applications and integration strategies for Cloud,
EDI, API, Web Services systems by assessing, recommending, executing and
maintaining processes, procedures, documentation, etc. required to
effectively deploy solutions for the B2B environment.
·          Work closely with
our trading partners, business leads, other application development managers,
architects and developers, as well as third-parties to coordinates network
engineering, application support, programming and database administration
functions to ensure availability, reliability, and scalability of the B2B
systems in order to meet business demands.
·          Assist in coach
and provide strategic direction while working with analysts/developers/PMs
·          Evaluate and
recommend new technologies/functionality"	5-8 years	"B2B Integration, System Administrator"	Match																						
Lead Administrator Database Infrastructure	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Team Lead/Technical Lead	"Database Admin Database Performance Tuning, Infra Performance and Optimization, Database Consulting, Database High Availability, Vmware Admin, Database Admin Desirable Skills: Language Skills: English Language"	"Database Admin (Mandatory)
Oracle Database 12c
As a Lead Administrator, you should be able to act as a Single point of contact for the technical tower in front of the customer management. Ensure proper communication and quick resolution as a crisis manager. Responsible for Vendor Management and people management. Drives day to day operations and work plan allocation/management. Conduct periodic reviews with teams. Weekly and monthly status reports to higher management. Participate in business meetings with various stake holders. Take corrective actions based on the customer satisfaction surveys. Drive service improvement programs. Ensure adherence to quality / security standards defined for the engagement Perform Trend analysis, identify top few incidents and work with respective teams/individual to minimize the incidents. Effort estimation/reviews on need basis for new projects."	3-5 years	Lead Administrator Database Infrastructure	Match																						
 Database Administration Support-Level 2	Media / Entertainment / Internet	"IT Software - Network Administration, Security"	Admin/Maintenance/Security/Datawarehousing	DBA			3 years	 Database Administration Support-Level 2	Match																						
"Sr Analyst, Database Admin"	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Admin/Maintenance/Security/Datawarehousing	DBA	"Essential Requirements
 
• At least 4 years of experience as an MSSQL DBA with experience of full-life cycle SQL Server DBA in SQL2008, SQL2012 SQL2014 and 2016.
• Expert in managing large and complex database environment. 
• Expert  in SQL Server performance tuning
• Expert in Replication, Mirroring & AGL.
• Expert in Optimizing Databases/database servers, Backup/Recovery (point-in-time recovery), Security architecture, I/O sub-system tuning for best performance (data file layout, RAID configuration etc.), various trace flag settings and performance-tuning of database SQL code (procedures/packages etc.)
• Knowledge of storage subsystems (Dell/EMC), NT scripting and windows OS are a plus
• Programming experience in a multi-tier environment
• Team player and excellent interpersonal skills are required"	"Key Responsibilities
Performs administration of very large, complex and mission critical global production databases 7x24. This person will play a key role in ensuring the SQL  environment is operating to meet business and IT demands for availability, performance and manageability.
    Responsible to response and close trouble ticket according to SLA
    Responsible to provide RCA (Root Cause Analysis) according to SLA.
    Performs daily proactive database health check which includes monitoring of space/backup/monitoring agent/compliance report.
    Conduct database assessment according to SLA.
    Perform proactive maintenance & patching in production.
    Close PKE according to SLA.
    Recognized as role model/mentor in database and business user community
    Serves as consultant to the business on database HA standards and long-term systems strategies"	4 years	"Sr Analyst, Database Admin- ITORG-17000GQM"	Match																						
Software test engineer with 3+ Years of experience	IT/Hardware & Computing	IT Software - Client Server	Programming & Design	Test Engineer	"Linux,Python,Agile,HTTP,Debugging,Ruby,Analytics,Software design,Computer science,Tools,QTP,Selenium"	"Develop Tools, Test Frameworks and Automatedthe System test process. 
Own and be responsible for the quality of theproduct. 
Lead the test effort from planning andorganization to execution and delivery. Develop effective test strategiesthrough innovation in test. 
Use your knowledge of testing and testabilityto influence better software design, promote best engineering practices, bugprevention strategies, testability, and other quality attributes acrossproducts. 
Continuously seek effective and efficienttest methodologies. BasicQualifications: 
Education: Bachelor s degree in ComputerScience, relevant engineering field or equivalent practical experience. 
Minimum of 3 years professional testautomation or software development experience or equivalent 
Minimum of 2 years working level skills inPython, Java OR with an object- oriented language such as C or C# 
Minimum of 2 years experience working with ascripting language such as Ruby, Bash, Pearl etc. 
Minimum of 2 year working with Linux "	3 - 6 Years	Senior Software Development Engineer in Test	Match																						
Software Engineer/sr Software Engineer/ Technical Lead- UX Development	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer		"
        Candidate should have more than 2+ yrs of experience
        Expert in Java Script HTML5, CSS3, Jquery/Ajax
        Good understanding and experience of back-end coding with technologies like (C#,ASP.NET) OR (Java, JSP)
        and MVC
        Exposure/experience to frameworks like node.js, angular.js, backbone.js etc
        Experience in building REST services and API design
        Sound SDLC Knowledge with Agile Development practices (SCRUM ready)
        Good understanding of OOPs concepts and software development processes
        Proven experience and skills in Requirement Analysis, Design, Coding, Unit Testing, Code Review, Defect
        fixing
        Strong in written & verbal communication
        Must be a Team Player with Positive attitude
        Good grasping and learning abilities
        Team Handling experience (for Tech lead)"	2-4 years	Software Engineer/sr Software Engineer/ Technical Lead- UX Development	Match																						
Software Engineer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"    Using software applications design tools and languages.
    bility to apply analytical and problem solving skills.
    Designing software applications running on multiple platform types.
    Software applications testing methodology, including execution of test plans, debugging, and testing scripts and tools.
    Strong written and verbal communication skills; mastery in English and local language.
    Ability to effectively communicate design proposals and negotiate options."	"Analyzes, designs, programs, debugs, and modifies software enhancements and/or new products used in local, networked, or Internet- related computer programs, primarily for end users. Using current programming language and technologies, writes code, completes programming, and performs testing and debugging of applications. Completes documentation and procedures for installation and maintenance. May interact with users to define system requirements and/or necessary modifications.
Responsibilities:
    Designs limited enhancements, updates, and programming changes for portions and subsystems of end-user applications software running on local, networked, and Internet- based platforms.
    Analyzes design and determines coding, programming, and integration activities required based on specific objectives and established project guidelines.
    Executes and writes portions of testing plans, protocols, and documentation for assigned portion of application; identifies and debugs issues with code and suggests changes or improvements.
    Participates as a member of project team of other software applications engineers and internal and outsourced development partners to develop reliable, cost effective and high quality solutions for assigned applications portion or subsystem.
    Collaborates and communicates with internal and outsourced development partners regarding software applications design status, project progress, and issue resolution."	2-4 years	Software Engineer	Match																						
MTS 1 Software Engineer	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer		"Work with business entities, product owners, domain tech leads and architects to crystallize business needs into product features, acting as a bridge between business and technical domains.
• Consult with business entities on feasibility, technical requirements and cost estimates for new initiatives.
• Provide technical guidance and assistance to other software engineers.
• Provide technical and domain thought-leadership, and mentoring to junior members of the team.
• Review and approve software design and implemented code.
• Provide effective cutting-edge design/solutions for implementing product features.
• Develop new team capabilities to ensure continued competence and relevance of the Centre in supporting software development needs of PayPal's business.
• Define and devise processes, tools and methodologies to achieve excellence in software development, testing and deployment, and in the management of the Centre.
Job Description:
    Bachelor/Master degree in Computer Science, Computer Engineering, Mathematics or related area.
    7-12 years of professional experience
    Highly competent hands-on experience in some of the following:
        Enterprise architecture/softwaredesign/implementation, particularly large-scale web-based systems. (J2EE, .NET, Linux/Apache)
        Database design, performance tuning and optimization. (Oracle/Sybase/MySQL)
        C++, SQL or Java programming.
        OO-based analysis and design.
        Software design and development methodologies, including agile methods.
        Systems/network design, systems performance tuning.
    Highly analytical, innovative, and able to think strategically and to develop comprehensive detailed specifications.
    Ability to determine impact of architectural solutions and recommendations. Must have experience in justification of technology solutions to business leaders.
    Excellent verbal and writing skills; ability to produce clear, concise communications and documentation.
    Highly effective at working in cross-functional groups and getting results in matrix organizations.
    Working knowledge of finance industry standards and practices preferred.
    Experience in engineering support of a product through a PDLC preferred."	7-12 years	MTS 1 Software Engineer	Match																						
Software Engineers	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Application Developer		"Infocim is looking to hire the best possible people to support the brightest minds.
We offer first-class Opportunities for top students in our technology consulting
division in the following 3 streams.
> Oracle Financial Applications
> Human Resource Applications
> Business Intelligence applications
As a Software Engineer, you will be responsible for the complete life cycle - from
research and design, to implementation and test, through training and working at
Infocim. You will have endless opportunities to learn and make a difference. You
can build the career you want and cultivate your expertise"		Hiring Freshers-Software Engineers	Match																						
Software Engineer - Production Support	IT-Software / Software Services	IT Software - Client Server	Programming & Design	Software Developer	"
Candidate Description
 
Candidate should have sound technical knowledge/experience in batch, application support and functional infrastructure knowledge. He/She should have excellent oral and written communication. Should be hands-on - handling technical issues, configurations, performing database queries and making changes to the production environment as per the defined procedures.
 
 
List of skills required 
    Incident Management, Change Management, Problem management processes
    Batch monitoring and SLA / OLA tracking and compliance
    Ensure compliance with and improvement of support processes
    Experience in Production Support environment
    Operating System Windows and UNIX
    Work together with support teams to identify automation opportunities, chart actions and status of those actions to improve operations
Behavioural attributes
    Demonstrate relationship building and teamwork skills within all levels of the organization in a collaborative effort
    Must be adaptable in a changing environment and be effective in many different business settings
    Should be able to understand customer / end users requirements and should own the issue till the closure.
     
Qualifications
 
    10+2+Diploma / Bachelors Degree with 2 to 4 years of experience (Min of 15 years of formal education) (Mandatory)
    Flexibility to work in 24 x 7 shifts on rotational basis and Handle On Call responsibilities during weekends (Mandatory)
    Databases: SQL and Oracle (should be able to write queries & stored procedures) (Mandatory)
    Knowledge on ITIL process - Incident, Change and Release Management (Desired)
    Experience in Informatica, OBI/IBI and Reporting would be added advantage (Optional)"	"Business Unit Overview
 
Fidelity Investments is one of the world's largest provider of financial services. Founded in 1946, the firm is a leading provider of investment management, retirement planning, portfolio guidance, brokerage, benefits outsourcing and many other financial products and services to more than 20 million individuals and institutions, as well as through 5,000 financial intermediary firms.
 
Production Support Services (PSS) is a horizontal Production Support organization of Fidelity’s Technology Services. This team supports the operational needs of various businesses such as Workplace Investing, Personal Investing, SIPD, Asset Management and Advisory businesses, as well as support the internal enterprise applications.
 
Role Description
 
As a member of the Production Support Services team, the candidate will have shared responsibility for effectively supporting, triaging and incident resolution for several applications within the organization. In addition to the production support responsibilities, the candidate will have to actively participate in various projects and initiatives designed to improve the overall production process."	15 years	Software Engineer - Production Support(Job Number: 1705378)	Match																						
Software Engineer	Semiconductors / Electronics	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer		"Java, XML, HTML, CSS, JQuery, JSP, JavaScript Required Skills Bachelors in Electronics Engineering or related field Job Description Design and Develop software components of consumer oriented web Application/ services, Java, XML, HTML, CSS, JQuery, JSP, JavaScript for Telecommunication services. Design software applications using Object-Oriented Analysis and Design (OOAD). Develop Geographical Information Services (GIS) application with ESRI technologies and Google maps for Telecommunication services. Develop applications using software development tools and IDE such as Microsoft Visual Studio, Eclipse. Develop web application for portal using Liferay portal server and Content management system application using CQ5. Develop cloud based application with Google app engine and Amazon web services (AWS). Work on Database technologies like Oracle, MySql and Googles Big data. . Develop application to work on multiple operating system such as Windows (XP, Vista, 7), Linux and Mac. Perform Unit, system Integration and Functional Testing. Fix defects and analyze code issues using debugging tools such as Microsoft visual studio debugger. Responsible for release activities such as build activities and package creation. Provide post-implementation support and troubleshooting. "		Software Engineer	Match																						
"MTS 1, Software Engineer"	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Experience must include the following: Enterprise Application Development; Java, J2EE; JDBC, JAX - WS; JMS; SQL; Oracle; MySQL; SOAP or REST; Spring; Hibernate; Camel or Mule; Jersey; Junit; Apache Tomcat; JBoss; Maven; Jenkins; Object Oriented Design; Data structures; Algorithms; Software Design Patterns. Any suitable combination of education, training and experience is acceptable.
Must be legally authorized to work in US without sponsorship. Submit resume with references to: Req. #: SS09(MC) to: ATTN: Recruiting, X. Commerce, Inc. d/ b/ a Magento, 10441 Jefferson Blvd. , Ste. 200, Culver City, CA 90232. EOE "	"Title MTS 1, Software Engineer Location Campbell Department Name Magento Enterprise Description Job Duties: Design and develop the companys next - generation middleware services platforms and frameworks. Drive innovation and integrate new technologies. Design and implement libraries, tools, frameworks and processes to improve development agility for internal developers. Help advance the companys technical culture and the technical industry through presentations, blogging, conferences, and other social participation. Scope, prioritize, plan, fix, bugs and perform documentation.
Minimum Requirements: Masters degree, or foreign equivalent, in Computer Science, Engineering or closely related quantitative discipline and three (3) years of experience in the job offered or three (3) years of experience as a programmer analyst or software engineer or Bachelors degree, or foreign equivalent, in Computer Science, Engineering or closely related quantitative discipline and five (5) years of experience in the job offered or five (5) years of progressively responsible experience as a programmer analyst or software engineer"	5 years	"MTS 1, Software Engineer"	Match																						
Software Engineer - Webservices Testing	Banking / Financial Services / Broking	IT Software - QA & Testing	Programming & Design	Developer	"Primary Skills :
Understanding of application protocols HTTP/2, HTTPS, DNS, SMTP, SNMP, SSL, TLS
The software development life-cycle of web, mobile, portal frameworks and OTT applications as well as APIs that serve them, web services/API testing (RESTful APIs, Angular.js, Node.js, Java/Jersey, Groovy)
Hands-on experience with API-related technologies HTTP/S, XML, SOAP, JSON, REST, Gdata, YAML, Coding/Scripting experience in Python, Swift and/or Java
Ability to interpret, understand and create code from scratch, Experience using Wireshark, Fiddler, and/or Charles Proxy, Cucumber, Visor, APK Info, PostMan, Loggly, Logcat, Spark, Columnar, ChromeInspect.
Cloud based infrastructures; AWS/Docker/Kubernetes, Strong Linux/Unix administration skills, and experience writing SQL queries
Secondary skills :
Knowledge of SOA and micro services
Understanding and hands on experience with CI pipelines (Travis CI, Jenkins, Bamboo, or similar).
knowledge of DevOps environments using tools such as ansible/chef/puppet/vagrant to help vet the deploy process as part of the overall quality focus
Verify compliance with OWASP and PTES methodologies as well as PCI-DSS and HIPAA security standards.
Section 508 Compliance Standards and WCAG 2.0 guidelines.
"	"
Incedo is looking for As a QA Analyst with a minimum relevant experience of 3+ years on Web Services/API testing, you will be responsible for Maintain a deep passion for software testing, and strive to keep abreast of new testing ideas and technologies"	3-6 years	Software Engineer - Webservices Testing	Match																						
"
Senior Software Engineer .NET Technologies"	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"			"Experience in delivering solutions through .NET framework using C#, ASP .NET, XML, Web Services
Knowledge of client side scripting libraries using Javascript/ JQuery
Strong grasp of OO principles
2 years of development experience in OO languages such as C# or C
Strong knowledge of SQL and database technologies
Skilled in representing architectural views of a system using diagramming / modeling tools
Excellent written, verbal communication and customer interfacing skills
Skills (Desired)
Experience in ASP.NET MVC/ WCF/ WPF/ WF using Microsoft Technologies
Knowledge of client side libraries such as Knockout, AngularJS, Bootstrap etc.
Experience in ORM Model/ Entity Framework/ NHibernate.
Experience of performing analysis, design, development and implementation of large- scale systems
Leadership experience in staff skill levels assessment, appropriate work assignment, directing team in specific project activities, estimation, and facilitating career development
Knowledge of best practices and patterns in architecture, development, deployment and software testing
Exposure to EAI technologies (BizTalk, TIBCO etc.)
Knowledge of Agile Methodologies such as Extreme Programming (XP) & Scrum
Bachelor's degree in Computer Science or Engineering "	" Role
Work closely with the CitiusTech team to understand client needs and design and architect software solutions
Interact extensively with clients to understand their requirements
Interact with client engineering team to conceptualize, develop and implement software projects and solutions
Lead development of solutions on an end- to- end basis
Ensure team output meets time and quality commitment
Lead onsite visits to client locations e.g., requirements, UAT
Proactively learn healthcare standards, workflows and technologies
Proactively stay abreast with new developments in Microsoft software development technologies
Be a hands- on technology professional to guide and mentor team members "	3-5 years	"
Senior Software Engineer .NET Technologies"	Match																						
"Software Engineer (.net and QA, Testing) - Freshers Required"	Telecom/ISP	"IT Software - Application Programming, Maintenance"	Other	Trainee		"We have an urgent opportunity for ""Trainee Engineer"" Position in .NET and Testing.
Company Overview
We would like to introduce ourselves as, Matrix ComSec Pvt. Ltd (www.matrixcomsec.com ), a leading manufacturer of Digital PBX, ISDN KTS, GSM & VoIP Gateways, Voice Mail Systems and vast arena of surveillance security products like Access Control, Fire Alarm, NVR, DVR & many more products spread across India and globally over 44 countries. It has a large network of Channel Partners for sales and support of its systems. Matrix, having its own Research & Development Center and fully automated Manufacturing facilities spread over an area of 2 lakh sq. ft. at Vadodara, also has a Registered office (Matrix LLC.) in Orange City, California & expanding as Matrix GmbH (Germany). Matrix also has vast representation in Middle East and Asia. With a range of over 40 products which are versatile in design, catering to various market segments offer an unique combination of multiple technologies and interfaces to the customer. There are more than 400,000 customers. Matrix customers are diverse and include large corporate offices, telecom & security service providers, institutions, factories, call centers, hotels, hospitals, housing societies and apartment, buildings and residences.
We @ Matrix ComSec, Vadodara are looking for Qualified Engineers who want to develop their career in Software Development/Testing field.
We need hardworking & ambitious Developers who can contribute well in the ever growing team of Matrix and become a value addition for us.
Eligiblity Criteria :
Person should be B.Tech.
70% and above in SSC and HSC.
65% and above in B.Tech.
Interview Process:
Aptitude Test
Personal Interview with Technical Head/Functional Head
HR Round
You are invited directly to our premises if you are fulfilling the eligibility criteria and interested for .NET and Testing profile."	0-1 year	"Software Engineer (.net and QA, Testing) - Freshers Required"	Match																						
.NET Software Engineer	KPO / Research / Analytics	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Extensive knowledge of Software Development Life Cycle (SDLC) and have worked using Water-Fall and Agile methodologies.
Expertise in Microsoft .NET MVC latest versions /technologies such as Visual Studio .NET, C#, ASP .NET, Web Forms, AJAX, ADO.NET, VB.Net, WCF, Microsoft SQL Server, SSIS, SSRS and SSAS.
.Net - Parallelism/Threading concepts
In depth knowledge on Database Designing, Application Development, BCP -SSIS - LINQ - OOPS - Design pattern - XML/ XSLT
Should be an individual contributor as well as team player and aware of the entire SDLC ( Software Development Life Cycle ), should have developed application from Scratch )
Analyse software requirements and implement software code
Actively participate in all aspects of new product development and enhancements to existing applications
Work with stakeholders to develop solutions
Research, design, document and modify software code modules. "	"Extensive knowledge of Software Development Life Cycle (SDLC) and have worked using Water-Fall and Agile methodologies.
Expertise in Microsoft .NET technologies such as Visual Studio .NET, C#, ASP .NET, Web Forms, AJAX, ADO.NET, VB.Net, WCF, Microsoft SQL Server, SSIS, SSRS and SSAS.
Experience in Designing, Modeling and Development of Database using SQL Server 2000/2005/2008. Have worked on highly complex Stored Procedures and Functions.
Strong knowledge of Object Oriented Design Methodologies and OOPs along with SOA. "	3-6 years	Interviews for .NET Software Engineer (navi Mumbai) on 10-june-17	Match																						
Software Engineer - Cloud Tooling	IT-Software / Software Services	"IT Software - Application Programming, Maintenance"	Programming & Design	Software Developer	"Key Skills
Chef, vmware, Scripting, Python,Ruby, Splunk, AppDynamics"	"Hands on experience in Chef
Hands on experience on Python/Ruby Scripting
Experience in Splunk/AppDynamics monitoring tools
Expertise in AWS/AZure
Good to have
Hands on experience in any one of the tool BAA/RLM"	3-5 years	Software Engineer - Cloud Tooling	Match																						
